#,Repositorio,Enlace GitHub,Uso Principal,H2O,Trading,Agro,Score,
30,**k2-fsa/OmniVoice**,https://github.com/k2-fsa/OmniVoice,Framework procesamiento voz,🟡,🟡,🟡,90,
31,**Y-Research-SBU/QuantAgent**,https://github.com/Y-Research-SBU/QuantAgent,Agente investigación cuantitativa,🟢,🔴,🟢,90,
32,**selfagency/opilot**,https://github.com/selfagency/opilot,Framework agentes autónomos,🟡,🔴,🟡,90,
99,**HKUDS/AI-Trader**,https://github.com/HKUDS/AI-Trader,Bot de trading algorítmico con IA,🟢,🔴,🟢,**94**,
100,**paperless-ngx/paperless-ngx**,https://github.com/paperless-ngx/paperless-ngx,Gestión documental con OCR automático,🔴,🟡,🟡,**93**,
101,**HKUDS/LightRAG**,https://github.com/HKUDS/LightRAG,Implementación ligera de RAG para IA,🔴,🟡,🟡,**93**,
102,**dani-garcia/vaultwarden**,https://github.com/dani-garcia/vaultwarden,Gestor de contraseñas self-hosted (Bitwarden-compatible),🟡,🔴,🟡,**92**,
103,**anthropics/claude-code**,https://github.com/anthropics/claude-code,Asistente de código CLI con Claude (Anthropic),🟡,🟡,🟡,**91**,
104,**blakeblackshear/frigate**,https://github.com/blakeblackshear/frigate,NVR con detección de objetos en tiempo real para cámaras,🟡,🟢,🟡,**91**,
105,**danielmiessler/Personal_AI_Infrastructure**,https://github.com/danielmiessler/Personal_AI_Infrastructure,Guía de infraestructura personal para IA self-hosted,🟡,🟡,🟡,**90**,
123,**n8n-io/n8n**,https://github.com/n8n-io/n8n,Plataforma de automatización de flujos de trabajo low-code,🔴,🟡,🟡,**94**,
124,**TryGhost/Ghost**,https://github.com/TryGhost/Ghost,CMS headless profesional para contenido y membresías,🔴,🟡,🟡,**92**,
125,**anthropics/knowledge-work-plugins**,https://github.com/anthropics/knowledge-work-plugins,Plugins oficiales de Claude para gestión de conocimiento,🟡,🟡,🟡,**91**,
126,**coollabsio/coolify**,https://github.com/coollabsio/coolify,PaaS self-hosted alternativo a Vercel/Heroku,🟡,🟡,🟡,**91**,
127,**microsoft/agent-governance-toolkit**,https://github.com/microsoft/agent-governance-toolkit,Toolkit de gobernanza y cumplimiento para agentes de IA,🟡,🔴,🟡,**90**,
128,**letta-ai/letta**,https://github.com/letta-ai/letta,Framework de memoria persistente y agentes de IA a largo plazo,🟡,🟡,🟡,**90**,
159,**NangoHQ/nango**,https://github.com/NangoHQ/nango,"Plataforma de integraciones unificadas: conecta apps (Sheets, Telegram, Odoo, WhatsApp) con APIs estandarizadas",🔴,🟡,🟡,**93**,
160,**RyanCodrai/turbovec**,https://github.com/RyanCodrai/turbovec,Motor de vectores ligero para búsqueda semántica y RAG en Python,🔴,🟡,🟡,**91**,
166,**mautic/mautic**,https://github.com/mautic/mautic,"Plataforma de automatización de marketing open-source: email, campañas, lead scoring, CRM integrado",🔴,🟡,,**95**,
167,**matomo-org/matomo**,https://github.com/matomo-org/matomo,"Plataforma de analytics web open-source (alternativa a Google Analytics): tracking, conversiones, embudos",🔴,🟡,,**94**,
168,**knadh/listmonk**,https://github.com/knadh/listmonk,"Gestor de newsletters y email marketing de alto rendimiento: auto-alojado, un solo binario",🔴,,🟡,**93**,
169,**gitroomhq/postiz-app**,https://github.com/gitroomhq/postiz-app,"Programador de redes sociales open-source: X, Bluesky, Mastodon, LinkedIn, Instagram con IA",🔴,,🟡,**91**,
178,**josephmisiti/awesome-machine-learning**,https://github.com/josephmisiti/awesome-machine-learning,"Lista curada de frameworks, bibliotecas y software de ML por lenguaje",🟡,🔴,🟡,**96**,
179,**academic/awesome-datascience**,https://github.com/academic/awesome-datascience,Repositorio completo de Data Science para problemas del mundo real,🟡,🔴,🟡,**95**,
180,**sacridini/Awesome-Geospatial**,https://github.com/sacridini/Awesome-Geospatial,Lista extensa de herramientas de análisis geoespacial,🟡,🟢,🔴,**94**,
181,**wilsonfreitas/awesome-quant**,https://github.com/wilsonfreitas/awesome-quant,Bibliotecas y recursos para finanzas cuantitativas (Quants),🟢,,🟢,**94**,
182,**joelowj/awesome-algorithmic-trading**,https://github.com/joelowj/awesome-algorithmic-trading,Frameworks y recursos de trading algorítmico,🟢,,🟢,**93**,
183,**brycejohnston/awesome-agriculture**,https://github.com/brycejohnston/awesome-agriculture,Tecnología open-source para agricultura y farming,🟢,🟢,🔴,**92**,ojo agricultura
184,**crazy-canux/awesome-monitoring**,https://github.com/crazy-canux/awesome-monitoring,Herramientas de monitoreo de infraestructura a nivel empresarial,🔴,,🟡,**91**,
185,**wmariuss/awesome-devops**,https://github.com/wmariuss/awesome-devops,"Plataformas, herramientas y prácticas DevOps",🔴,,🟡,**90**,
,**garrytan/gbrain**,https://github.com/garrytan/gbrain,"Framework de razonamiento para agentes de IA: planificación, reglas, auto-corrección, memoria",🔴,🟡,🟡,**88**,
, ,,,,,,,
